characterName,listFile,analysisFile
cinna,Books/The_Hunger_Games_Catching_Fire/character_3_list.txt,
prim everdeen,Books/The_Hunger_Games_Catching_Fire/character_16_list.txt,
haymitch abernathy,Books/The_Hunger_Games_Catching_Fire/character_2_list.txt,Books/The_Hunger_Games_Catching_Fire/character_2_analysis.txt
katniss's mother,Books/The_Hunger_Games_Catching_Fire/character_17_list.txt,
katniss everdeen,Books/The_Hunger_Games_Catching_Fire/character_0_list.txt,Books/The_Hunger_Games_Catching_Fire/character_0_analysis.txt
plutarch heavensbee,Books/The_Hunger_Games_Catching_Fire/character_18_list.txt,
enobaria,Books/The_Hunger_Games_Catching_Fire/character_15_list.txt,
peeta mellark,Books/The_Hunger_Games_Catching_Fire/character_1_list.txt,Books/The_Hunger_Games_Catching_Fire/character_1_analysis.txt
mags,Books/The_Hunger_Games_Catching_Fire/character_8_list.txt,
"flavius, octavia, and venia",Books/The_Hunger_Games_Catching_Fire/character_24_list.txt,
rue,Books/The_Hunger_Games_Catching_Fire/character_22_list.txt,
darius,Books/The_Hunger_Games_Catching_Fire/character_20_list.txt,
effie trinket,Books/The_Hunger_Games_Catching_Fire/character_4_list.txt,
seeder,Books/The_Hunger_Games_Catching_Fire/character_13_list.txt,
johanna mason,Books/The_Hunger_Games_Catching_Fire/character_9_list.txt,
brutus,Books/The_Hunger_Games_Catching_Fire/character_14_list.txt,
chaff,Books/The_Hunger_Games_Catching_Fire/character_12_list.txt,
maysilee donner,Books/The_Hunger_Games_Catching_Fire/character_25_list.txt,
hazelle hawthorne,Books/The_Hunger_Games_Catching_Fire/character_19_list.txt,
wiress,Books/The_Hunger_Games_Catching_Fire/character_11_list.txt,
finnick odair,Books/The_Hunger_Games_Catching_Fire/character_7_list.txt,Books/The_Hunger_Games_Catching_Fire/character_7_analysis.txt
madge undersee,Books/The_Hunger_Games_Catching_Fire/character_23_list.txt,
president snow,Books/The_Hunger_Games_Catching_Fire/character_6_list.txt,
romulus thread,Books/The_Hunger_Games_Catching_Fire/character_21_list.txt,
beetee,Books/The_Hunger_Games_Catching_Fire/character_10_list.txt,
gale hawthorne,Books/The_Hunger_Games_Catching_Fire/character_5_list.txt,
